phone,phone_status,account_status,account_type,customer_id,bank_name,routing,swift,bank_type,branch_name,branch_address,branch_phone,account_state,account_city,full_name,first_name,middle_name,last_name,email,occupation,address,carrier,line_type,interest_rate,min_balance,monthly_fee,caller_firstname,caller_middlename,caller_lastname,caller_fullname
+13129636794,UNKNOWN,INVALID,CD,AMERICAN-CUST-J9SE-ED3QKU,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Joan Reyes,Joan,,Reyes,chrisgarcia1_594@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Joan,,Reyes,Joan Reyes
+12569105515,VALID,ACTIVE,CD,AMERICAN-CUST-CG8K-9TM5DJ,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Lauren Wood,Lauren,,Wood,mikemiller5@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Lauren,,Wood,Lauren Wood
+16076346887,VALID,ACTIVE,CD,AMERICAN-CUST-JOI2-NJLBC6,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,David William Harris,David,William,Harris,janedavis47@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,David,William,Harris,David William Harris
+18472569333,VALID,ACTIVE,CD,AMERICAN-CUST-SSMD-HBPSZ3,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,George Campbell,George,,Campbell,emmawilliams20@yahoo.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,George,,Campbell,George Campbell
+16364796425,VALID,ACTIVE,CD,AMERICAN-CUST-XTR0-RXLU3I,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Randy Cooper,Randy,,Cooper,janewilliams76_132@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Randy,,Cooper,Randy Cooper
+15014388880,VALID,ACTIVE,CD,AMERICAN-CUST-FFWD-ZGNGMJ,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Martin Cooper,Martin,,Cooper,chriswilliams62.mailbox@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Martin,,Cooper,Martin Cooper
+19806748552,VALID,ACTIVE,CD,AMERICAN-CUST-6TG3-S5C7MX,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Howard Bailey,Howard,,Bailey,lisamiller13.mail@yahoo.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Howard,,Bailey,Howard Bailey
+18038665779,VALID,ACTIVE,CD,AMERICAN-CUST-RHCJ-FNHFPR,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Adam Morgan,Adam,,Morgan,chriswilliams12.post@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Adam,,Morgan,Adam Morgan
+13808149285,VALID,ACTIVE,CD,AMERICAN-CUST-QFES-AQUGI9,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,Emily Brown,Emily,,Brown,janejohnson86.mailbox@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,Emily,,Brown,Emily Brown
+17474966452,UNKNOWN,INVALID,CD,AMERICAN-CUST-S0HU-MQTEIP,American First Credit Union,021407913,AFCUUS33,Credit Union,America First Credit Union - Ogden,"PO Box 9199, Ogden, UT 84409",801-309-8000,UT,Ogden,William John Jackson,William,John,Jackson,lisadavis30@yahoo.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,3.50%,"$1,000",$0,William,John,Jackson,William John Jackson
